date,event_count,motion_count_total,door_event_count,night_motion_count,morning_motion_count,day_motion_count,evening_motion_count,first_motion_minute,last_motion_minute,longest_inactivity_gap_minutes,active_sensors_count,active_sensor_types_count
2010-11-26,6562,3281,0,142,796,1367,976,2.0,1436.0,158.2792385333333,10,1
2010-11-27,6106,3053,0,140,920,1163,830,7.0,1435.0,110.82372616666666,10,1
2010-11-28,6529,3265,0,47,889,1652,677,35.0,1439.0,97.70057108333334,10,1
2010-11-29,5419,2709,0,221,961,686,841,3.0,1439.0,258.1665972833333,10,1
2010-11-30,8043,4023,0,146,985,1988,904,0.0,1390.0,322.1614750333334,10,1
2010-12-01,5929,2964,0,8,966,1013,977,3.0,1437.0,234.18665266666667,10,1
2010-12-02,5214,2607,0,143,1140,331,993,0.0,1436.0,235.01533143333333,10,1
2010-12-03,5248,2624,0,124,1083,497,920,7.0,1433.0,264.93074458333336,10,1
2010-12-04,5854,2927,0,149,1237,540,1001,2.0,1382.0,264.7115928,10,1
2010-12-05,11210,5605,0,76,1029,2912,1588,20.0,1437.0,167.21964111666665,10,1
2010-12-06,9870,4935,0,208,2701,1097,929,0.0,1429.0,115.45715886666667,10,1
2010-12-07,9007,4503,0,91,1198,1922,1292,8.0,1420.0,175.92107888333334,10,1
2010-12-08,6076,3038,0,34,1122,948,934,0.0,1431.0,226.47283276666667,10,1
2010-12-09,4534,2267,0,48,732,877,610,183.0,1389.0,288.3024444833334,10,1
2010-12-10,3887,1944,0,59,761,669,455,216.0,1439.0,245.3850118,10,1
2010-12-11,5816,2908,0,159,1007,798,944,0.0,1428.0,243.16103175,10,1
2010-12-12,5236,2618,0,60,1000,1021,537,53.0,1425.0,171.21836046666667,10,1
2010-12-13,6211,3106,0,37,1325,1144,600,183.0,1435.0,247.5595902,10,1
2010-12-14,7262,3631,0,101,959,1682,889,0.0,1433.0,223.15786013333334,10,1
2010-12-15,4475,2238,0,127,1098,556,457,0.0,1340.0,267.68900049999996,10,1
2010-12-16,5507,2754,0,94,1065,585,1010,22.0,1439.0,168.05222525,10,1
2010-12-17,9868,4934,0,47,1242,1251,2394,0.0,1435.0,198.34875563333333,10,1
2010-12-18,10433,5215,0,261,1052,1463,2439,12.0,1426.0,279.0998696,10,1
2010-12-19,9114,4557,0,80,923,2292,1262,35.0,1438.0,145.37616001666666,10,1
2010-12-20,5582,2791,0,71,917,1292,511,1.0,1437.0,269.94689166666666,10,1
2010-12-21,6840,3420,0,116,457,2139,708,5.0,1426.0,241.0797909833333,10,1
2010-12-22,7054,3527,0,118,755,1487,1167,4.0,1439.0,177.61617906666666,10,1
2010-12-23,10004,5002,0,99,1395,2716,792,0.0,1437.0,140.67059676666668,10,1
2010-12-24,7201,3601,0,53,558,2755,235,0.0,1439.0,353.99430821666664,10,1
2010-12-25,6440,3220,0,43,1219,1362,596,0.0,1424.0,240.8198758,10,1
2010-12-26,5087,2543,0,79,1309,657,498,19.0,1425.0,273.6286013,10,1
2010-12-27,12786,6393,0,8,1752,2896,1737,7.0,1438.0,145.35538823333334,10,1
2010-12-28,16456,8228,0,245,2788,3498,1697,0.0,1436.0,193.3872351,10,1
2010-12-29,17684,8842,0,59,2824,3745,2214,0.0,1432.0,118.38499525,10,1
2010-12-30,14846,7423,0,365,2676,3418,964,2.0,1439.0,24.583500366666666,10,1
2010-12-31,7082,3541,0,162,556,1496,1327,14.0,1439.0,321.8990333,10,1
2011-01-01,7254,3627,0,234,576,1729,1088,0.0,1427.0,219.19459235000002,10,1
2011-01-02,7736,3869,0,204,705,850,2110,0.0,1439.0,238.07932418333334,10,1
2011-01-03,7201,3600,0,105,1011,1406,1078,0.0,1439.0,192.97157971666667,10,1
2011-01-04,11201,5600,0,193,1152,2342,1913,0.0,1416.0,197.39025230000001,10,1
2011-01-05,5368,2684,0,90,1277,605,712,0.0,1427.0,224.33684915,10,1
2011-01-06,4106,2054,0,18,707,415,914,20.0,1423.0,175.20470706666669,10,1
2011-01-07,6066,3033,0,70,1362,473,1128,1.0,1437.0,293.1924580833333,10,1
2011-01-08,6754,3377,0,95,891,1685,706,23.0,1430.0,314.6058382,10,1
2011-01-09,8094,4047,0,38,1702,1660,647,28.0,1427.0,184.8792651,10,1
2011-01-10,3958,1979,0,57,957,262,703,1.0,1439.0,290.9078286166667,10,1
2011-01-11,7358,3679,0,105,990,1862,722,2.0,1439.0,183.99652603333334,10,1
2011-01-12,4838,2402,0,48,1006,1064,284,4.0,1439.0,206.7458375,10,1
2011-01-13,5482,2741,0,20,946,902,873,1.0,1402.0,254.96088026666666,10,1
2011-01-14,5550,2775,0,33,1255,849,638,14.0,1416.0,124.2725587,10,1
2011-01-15,11006,5503,0,83,475,2061,2884,2.0,1431.0,336.40561491666665,10,1
2011-01-16,12056,6028,0,241,2890,1984,913,0.0,1426.0,64.7377241,10,1
2011-01-17,6983,3492,0,93,1193,1050,1156,2.0,1436.0,158.68396136666667,10,1
2011-01-18,12572,6286,0,265,1259,2230,2532,2.0,1439.0,181.30304318333336,10,1
2011-01-19,4744,2372,0,78,942,1079,273,1.0,1416.0,253.15842068333333,10,1
2011-01-20,4945,2472,0,228,1070,651,523,49.0,1436.0,200.7071287,10,1
2011-01-21,5742,2871,0,92,1022,1126,631,1.0,1436.0,199.04361458333332,10,1
2011-01-22,8358,4180,0,148,961,2316,755,2.0,1439.0,177.47590926666666,10,1
2011-01-23,5958,2979,0,356,1102,582,939,61.0,1437.0,221.56039936666667,10,1
2011-01-24,5524,2764,0,75,998,839,852,2.0,1439.0,206.38854208333333,10,1
2011-01-25,12861,6430,0,141,1614,2334,2341,136.0,1439.0,138.31204131666667,10,1
2011-01-26,6477,3239,0,295,1167,718,1059,0.0,1439.0,201.98604036666666,10,1
2011-01-27,5417,2708,0,418,1125,458,707,0.0,1391.0,270.8820181333333,10,1
2011-01-28,11020,5510,0,5,1424,2033,2048,1.0,1432.0,219.142537,10,1
2011-01-29,6417,3208,0,159,1055,1458,536,5.0,1439.0,220.01485996666668,10,1
2011-01-30,4390,2195,0,22,792,614,767,1.0,1419.0,207.21512433333334,10,1
2011-01-31,5744,2872,0,23,1310,683,856,221.0,1438.0,221.73486658333334,10,1
2011-02-01,8062,4031,0,304,1334,2097,296,4.0,1437.0,193.0316278,10,1
2011-02-02,5202,2601,0,143,1170,694,594,101.0,1438.0,234.58328068333333,10,1
2011-02-03,6294,3147,0,200,570,1275,1102,0.0,1439.0,321.9463335333333,10,1
2011-02-04,5500,2750,0,81,855,1269,545,11.0,1430.0,195.24214715000002,10,1
2011-02-05,5788,2894,0,30,751,1306,807,26.0,1421.0,249.0763901,10,1
2011-02-06,4680,2340,0,89,1067,490,694,18.0,1437.0,177.99755283333334,10,1
2011-02-07,7012,3506,0,55,1468,1159,824,2.0,1417.0,139.1149213,10,1
2011-02-08,10669,5336,0,90,2028,2475,743,6.0,1439.0,138.49795158333333,10,1
2011-02-09,10993,5495,0,51,1568,1626,2250,0.0,1438.0,238.35649716666666,10,1
2011-02-10,15468,7734,0,214,3448,2423,1649,25.0,1407.0,41.09548838333333,10,1
2011-02-11,7526,3763,0,242,2165,680,676,20.0,1439.0,307.10494035,10,1
2011-02-12,6598,3299,0,109,893,1856,441,0.0,1383.0,208.54266568333333,10,1
2011-02-13,6428,3214,0,42,1089,1650,433,85.0,1439.0,85.79975621666668,10,1
2011-02-14,9948,4974,0,111,1321,2594,948,0.0,1439.0,158.08629145,10,1
2011-02-15,9390,4695,0,184,1449,2685,377,0.0,1436.0,144.9859098,10,1
2011-02-16,5372,2686,0,104,1162,660,760,1.0,1423.0,154.09014298333335,10,1
2011-02-17,5360,2680,0,90,1206,451,933,0.0,1432.0,295.1088452166667,10,1
2011-02-18,10422,5212,0,33,1763,1315,2101,8.0,1439.0,154.38011653333334,10,1
2011-02-19,2862,1430,0,108,658,1,663,0.0,1413.0,558.2324533333334,9,1
2011-02-20,11548,5774,0,99,1191,1696,2788,15.0,1407.0,82.56436776666666,10,1
2011-02-21,5842,2920,0,161,853,1297,609,1.0,1432.0,158.38617531666665,10,1
2011-02-22,9534,4767,0,124,1311,2141,1191,11.0,1439.0,229.14950743333333,10,1
2011-02-23,6693,3346,0,134,1383,1120,709,0.0,1438.0,338.03893454999996,10,1
2011-02-24,4802,2401,0,286,869,530,716,4.0,1439.0,184.08446360000002,10,1
2011-02-25,6553,3277,0,82,948,1377,870,0.0,1436.0,440.05603135,10,1
2011-02-26,7902,3951,0,74,1103,2055,719,1.0,1430.0,246.88477676666668,10,1
2011-02-27,6326,3163,0,16,1815,669,663,1.0,1438.0,249.99831731666666,10,1
2011-02-28,6226,3113,0,74,1242,1099,698,1.0,1437.0,202.2037372,10,1
2011-03-01,9264,4632,0,28,1404,2674,526,5.0,1401.0,209.06197473333336,10,1
2011-03-02,8908,4454,0,22,1432,2173,827,273.0,1356.0,273.16635375,10,1
2011-03-03,4943,2471,0,36,807,835,793,1.0,1438.0,172.79235683333334,10,1
2011-03-04,8748,4374,0,53,838,2210,1273,1.0,1408.0,254.55258129999999,10,1
2011-03-05,4084,2042,0,285,531,771,455,23.0,1431.0,375.45334748333335,10,1
2011-03-06,6854,3427,0,133,1581,1254,459,0.0,1406.0,223.6727756666667,10,1
2011-03-07,5736,2868,0,183,1078,881,726,3.0,1425.0,176.19473068333335,10,1
2011-03-08,7538,3769,0,9,1279,1840,641,56.0,1439.0,221.58857758333335,10,1
2011-03-09,5266,2633,0,21,1343,686,583,0.0,1437.0,342.80470493333337,10,1
2011-03-10,6596,3298,0,54,1182,876,1186,10.0,1417.0,114.94535781666667,10,1
2011-03-11,7334,3667,0,17,1272,776,1602,22.0,1439.0,217.89577830000002,10,1
2011-03-12,10186,5093,0,135,1906,1936,1116,0.0,1400.0,201.51661103333333,10,1
2011-03-13,4332,2166,0,8,931,639,588,3.0,1428.0,313.48112863333336,10,1
2011-03-14,5540,2770,0,6,890,1147,727,85.0,1438.0,145.91681573333332,10,1
2011-03-15,10648,5324,0,105,1036,1596,2587,0.0,1435.0,194.73658235,10,1
2011-03-16,8676,4339,0,293,2049,1450,547,3.0,1437.0,246.32580901666668,10,1
2011-03-17,4335,2168,0,64,959,452,693,0.0,1439.0,213.62274461666667,10,1
2011-03-18,5377,2688,0,129,1057,476,1026,0.0,1439.0,60.054929316666666,10,1
2011-03-19,12788,6394,0,62,1877,3432,1023,0.0,1438.0,178.33061868333334,10,1
2011-03-20,5577,2789,0,332,779,769,909,6.0,1439.0,160.29567546666667,10,1
2011-03-21,7181,3590,0,79,962,750,1799,0.0,1428.0,236.4657638,10,1
2011-03-22,8946,4473,0,164,641,2831,837,32.0,1438.0,109.03165065,10,1
2011-03-23,6260,3130,0,714,621,1354,441,1.0,1439.0,153.0320353333333,10,1
2011-03-24,6106,3053,0,117,1132,1044,760,4.0,1437.0,85.77642108333333,10,1
2011-03-25,8460,4230,0,756,1257,1274,943,18.0,1362.0,117.14164380000001,10,1
2011-03-26,12074,6037,0,11,2934,1969,1123,103.0,1434.0,119.61042063333333,10,1
2011-03-27,7504,3752,0,17,1559,1256,920,21.0,1439.0,211.30455388333334,10,1
2011-03-28,6228,3114,0,66,1167,1092,789,2.0,1435.0,244.50095541666667,10,1
2011-03-29,5354,2677,0,43,855,1204,575,1.0,1435.0,130.8721708,10,1
2011-03-30,6556,3277,0,199,1367,1071,640,0.0,1429.0,207.75006238333333,10,1
2011-03-31,4394,2197,0,67,1067,513,550,12.0,1431.0,268.40463938333335,10,1
2011-04-01,7186,3593,0,294,1419,1284,596,33.0,1436.0,231.96720083333332,10,1
2011-04-02,7854,3927,0,133,748,1362,1684,89.0,1425.0,214.51489901666667,10,1
2011-04-03,4540,2270,0,148,932,724,466,28.0,1438.0,217.23966388333335,10,1
2011-04-04,8412,4206,0,476,1010,2067,653,0.0,1373.0,100.86799241666667,10,1
2011-04-05,4098,2049,0,81,955,92,921,92.0,1399.0,291.5347581166667,10,1
2011-04-06,5948,2974,0,92,1031,1183,668,44.0,1424.0,267.4536032666667,10,1
2011-04-07,11894,5947,0,34,1838,1522,2553,190.0,1410.0,190.34319983333336,10,1
2011-04-08,6368,3184,0,9,1285,285,1605,202.0,1432.0,202.17162021666667,10,1
2011-04-09,6912,3456,0,39,1385,1267,765,0.0,1422.0,216.1746671,10,1
2011-04-10,10444,5222,0,44,2918,1489,771,8.0,1434.0,246.63639819999997,10,1
2011-04-11,5404,2702,0,26,1208,477,991,16.0,1423.0,206.0101401,10,1
2011-04-12,9334,4667,0,13,1838,1277,1539,186.0,1422.0,186.24854595,10,1
2011-04-13,8607,4303,0,96,1109,1183,1915,5.0,1438.0,257.4627659166667,10,1
2011-04-14,8634,4316,0,173,1304,1680,1159,0.0,1353.0,223.96872698333334,10,1
2011-04-15,10833,5417,0,273,2907,1159,1078,200.0,1439.0,200.58031705,10,1
2011-04-16,8069,4034,0,9,1550,635,1840,173.0,1437.0,319.93215175,10,1
2011-04-17,10690,5345,0,88,1051,2418,1788,9.0,1439.0,216.17252606666668,10,1
2011-04-18,8392,4196,0,118,1627,1437,1014,0.0,1431.0,300.14647146666664,10,1
2011-04-19,11932,5966,0,54,1474,2359,2079,0.0,1436.0,313.00305625,10,1
2011-04-20,5570,2785,0,269,1005,787,724,1.0,1417.0,271.8349423,10,1
2011-04-21,4890,2445,0,129,624,1001,691,13.0,1436.0,251.83640415,10,1
2011-04-22,4800,2400,0,37,1563,464,336,2.0,1404.0,355.5369531333333,10,1
2011-04-23,5187,2594,0,29,1192,269,1104,172.0,1439.0,183.85011561666667,10,1
2011-04-24,4527,2263,0,23,1295,348,597,35.0,1423.0,341.83015546666667,10,1
2011-04-25,6851,3425,0,315,1638,430,1042,10.0,1426.0,151.2959287,10,1
2011-04-26,4973,2487,0,196,1096,305,890,276.0,1439.0,276.8486597666667,10,1
2011-04-27,8693,4346,0,309,1876,1527,634,0.0,1401.0,282.94167015000005,10,1
2011-04-28,6246,3123,0,281,728,1388,726,29.0,1299.0,221.40487231666665,10,1
2011-04-29,5692,2846,0,460,1568,408,410,102.0,1424.0,331.7362703,10,1
2011-04-30,5356,2678,0,521,471,1076,610,27.0,1381.0,287.30394701666665,10,1
2011-05-01,8444,4222,0,526,2046,861,789,59.0,1438.0,194.39959066666668,10,1
2011-05-02,8485,4243,0,133,1950,1032,1128,171.0,1434.0,230.23567905,10,1
2011-05-03,15883,7941,0,228,1072,2449,4192,13.0,1376.0,205.59302643333334,10,1
2011-05-04,6591,3296,0,16,1530,645,1105,177.0,1413.0,177.0769154666667,10,1
2011-05-05,5504,2752,0,510,692,722,828,58.0,1338.0,214.7696933,10,1
2011-05-06,6402,3201,0,261,2041,424,475,12.0,1430.0,132.749273,10,1
2011-05-07,7201,3601,0,97,1684,1077,743,1.0,1390.0,194.55736375,10,1
2011-05-08,6007,3003,0,48,1328,831,796,198.0,1436.0,265.03227503333335,10,1
2011-05-09,6990,3495,0,337,1707,522,929,49.0,1389.0,204.96821341666666,10,1
2011-05-10,6460,3230,0,235,741,1425,829,70.0,1412.0,201.24064685,10,1
2011-05-11,6194,3097,0,135,1833,662,467,9.0,1402.0,151.75475481666666,10,1
2011-05-12,4512,2256,0,25,1047,658,526,110.0,1410.0,192.79865868333334,10,1
2011-05-13,9830,4915,0,45,1384,1457,2029,215.0,1438.0,215.2281899666667,10,1
2011-05-14,8847,4423,0,165,1085,2422,751,0.0,1365.0,229.53468055,10,1
2011-05-15,6134,3067,0,25,1009,1030,1003,143.0,1383.0,230.69925576666668,10,1
2011-05-16,5506,2753,0,189,1053,505,1006,0.0,1367.0,208.76576741666668,10,1
2011-05-17,6142,3071,0,87,1005,1398,581,64.0,1303.0,193.8543230666667,10,1
2011-05-18,5944,2972,0,161,1076,1111,624,3.0,1426.0,216.52178848333332,10,1
2011-05-19,4317,2159,0,297,706,819,337,228.0,1368.0,228.36344881666668,10,1
2011-05-20,4970,2485,0,27,1166,543,749,51.0,1423.0,162.49529448333334,10,1
2011-05-21,8128,4064,0,37,2046,1318,663,35.0,1326.0,113.64654346666666,10,1
2011-05-22,13536,6768,0,30,909,3116,2713,154.0,1426.0,154.25319613333335,10,1
2011-05-23,12624,6312,0,666,2836,1514,1296,47.0,1306.0,133.7535637,10,1
2011-05-24,4610,2305,0,153,532,758,862,101.0,1379.0,410.20461851666664,10,1
2011-05-25,5990,2995,0,301,773,739,1182,30.0,1416.0,181.84307189999998,10,1
2011-05-26,4098,2049,0,229,747,705,368,73.0,1405.0,245.30163995,10,1
2011-05-27,5546,2773,0,194,948,1046,585,111.0,1422.0,166.02079238333332,10,1
2011-05-28,6972,3486,0,208,1195,1170,913,36.0,1380.0,205.43231791666668,10,1
2011-05-29,13586,6793,0,34,1590,2174,2995,143.0,1427.0,143.15496161666667,10,1
2011-05-30,11264,5632,0,136,2783,2168,545,33.0,1373.0,66.72886003333333,10,1
2011-05-31,9476,4738,0,314,844,3005,575,77.0,1363.0,182.96730953333332,10,1
2011-06-01,6402,3201,0,193,1961,492,555,149.0,1281.0,158.71478043333335,10,1
2011-06-02,5920,2960,0,94,859,1077,930,46.0,1386.0,211.57894918333335,10,1
2011-06-03,5742,2871,0,324,1329,120,1098,36.0,1405.0,188.97477371666668,10,1
2011-06-04,7234,3617,0,254,1402,1059,902,2.0,1410.0,134.2693966,10,1
2011-06-05,6082,3041,0,123,772,1457,689,199.0,1382.0,199.9817187,10,1
2011-06-06,9296,4648,0,270,2041,1317,1020,97.0,1337.0,102.57019726666667,10,1
2011-06-07,6822,3411,0,258,594,1269,1290,71.0,1341.0,222.1820902166667,10,1
2011-06-08,7662,3831,0,378,1464,1232,757,116.0,1439.0,143.81935895,10,1
2011-06-09,5126,2563,0,340,907,810,506,1.0,1419.0,208.73808145,10,1
2011-06-10,7586,3793,0,273,706,854,1960,179.0,1397.0,332.97315205,10,1
2011-06-11,7764,3882,0,365,1608,1518,391,139.0,1400.0,139.43257683333334,10,1
